Identifiant;Nom_officiel;Adresse;Lieu;Code_postal;Ville;Région;Departement;URL;Telephone;Categorie;Domaine_thematique;Histoire;Atout;Thèmes;Artiste;Personnage_phare;Intérêt;Protection_batiment;Protection_espace;Refmer;Annee_creation;Date_de_mise_a_jour;Coordonnees
M1039;musée des hospices civils de Lyon;3 quai des Célestins;;69002;Lyon;Auvergne-Rhône-Alpes;Rhône;www.chu-lyon.fr/fr/musee-des-hcl;07.89.87.01.85 / 04.72.40.75.74;;Arts décoratifs,Beaux-arts,Ethnologie,Histoire,Technique et industrie;Le musée des Hospices Civils de Lyon, créé en 1936 au sein de l’Hôtel-Dieu pour présenter les salles classées Monuments historiques de l’hôpital de la Charité récemment détruit, les beaux objets et les documents anciens des Hospices Civils de Lyon, n’a cessé depuis d’évoluer.  En 2014, un grand chantier des collections a préparé son avenir après la fermeture de l’Hôtel-Dieu : inventaire, marquage, conservation préventive, récolement décennal et photographies des collections ont été menés. Le musée des HCL, « musée de France », est depuis mieux outillé pour répondre à ses missions de conservation, d’enrichissement et de documentation des collections, de diffusion et de médiation. Il mène ses actions à travers des expositions temporaires hors-les-murs, souvent coréalisées, des diffusions des œuvres documentées sur Internet, des prêts et des dépôts.;Le musée des HCL est le plus grand musée hospitalier français par la taille de ses collections, qui regroupent plus de 15.000 œuvres, objets et documents. Ses collections touchent aux arts, à la santé et à la société. Elles témoignent notamment des évolutions de la médecine et de la pharmacie, de la vie hospitalière, de la place et de l’importance des hôpitaux dans la ville et auprès de la population lyonnaise.  Le musée des HCL aborde les réalités hospitalières, médicales et scientifiques, à travers l’histoire, les arts et les questions de société. Il propose à ses publics différents accès à ses contenus, notamment à travers des dispositifs en ligne.  Le musée des HCL est proche des musées et collections de sciences et de médecine à Lyon et au-delà, et collabore régulièrement avec des musées, archives et bibliothèques de Lyon. Ses collections sont régulièrement prêtées pour des expositions temporaires organisées par d’autres « musées de France ». Il développe des liens et des partenariats avec plusieurs structures, telles que les universités et les associations qui se consacrent notamment au patrimoine, à l’art et à la médecine.;"Arts décoratifs : Céramique, Mobilier, Orfèvrerie, Textiles, Verrerie;Beaux-Arts : Dessin, Peinture, Sculpture;Fonds ancien d'imprimés, Photographie, Manuscrits, incunables, Moulages, Ouvrages de bibliophilie;Ethnologie : Pratiques religieuses et collectives;Histoire : Musée thématique (Médecine);Sciences et techniques : Sciences médicales";;;;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00117821?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22hospices%20civils%20Lyon%22&last_view=%22list%22&idQuery=%226172525-a250-1384-f81-d3eaba4a82a%22;Site patrimonial remarquable. Site inscrit. Patrimoine mondial de l'UNESCO.;"PA00117821;SPR8400131";;2025-03-07;45.760912, 4.831492
M1046;musée municipal d’Albertville - Conflans;grande place Conflans;maison rouge;73200;Albertville;Auvergne-Rhône-Alpes;Savoie;www.albertville.fr/culture/musee-art-histoire/;04 79 37 86 86;;Archéologie,Ethnologie,Histoire,Technique et industrie;A l'automne 1935, l'association des Amis de Conflans décide de mettre en place une exposition temporaire sur le patrimoine local. Ce projet s'inscrit dans le programme des célébrations du centenaire d'Albertville. Pour constituer une collection, les Amis de Conflans lancent un appel aux dons. Lorsque l'exposition ouvre ses portes, en août 1936, elle réunit 677 objets donnés ou déposés, auxquels s'ajoutent 183 acquisitions effectuées par l'association. Les objets, statuaire religieuse, mobilier savoyard et portraits peints, sont tous exposés. Le succès de l'exposition est tel que, de temporaire, celle-ci devient permanente : le musée est né.  En 1956, le musée devient municipal. A cette occasion un inventaire est réalisé et sont enregistrés 1.395 objets : 705 objets exposés, 690 objets en réserves et un lot de monnaies et médailles de diverses pays. Aujourd’hui, le musée compte plus de 2.500 objets. L'ethnologie représente environ 70% des collections, l'histoire 15% et l'art sacré 7%.;"Le musée propose quatre parcours : l'histoire ; l'art ; la vie quotidienne ; l'économie.  Le premier parcours permet notamment la découverte des objets récoltés lors des fouilles de la villa gallo-romaine de Gilly-sur-Isère (IIe-IIIe siècles) et notamment une mosaïque (début IIe siècle), un fragment de cadran solaire et une balance romaine dont les dimensions en font un objet quasi unique en Europe.  Les collections d'art sacré datent du XVe au XXe siècle, avec quelques œuvres rares : la plus ancienne statue jacquaire (liée au pèlerinage de Saint-Jacques-de-Compostelle) de Savoie, rare piéta reliquaire de la fin du XVe siècle, moule à ex-voto pour figurines de cire...";"Archéologie nationale : Gallo-romain;Architecture et urbanisme;Art religieux (Statuaire notamment);Arts décoratifs : Céramique, Mobilier, Textiles;Beaux-Arts : Peinture (ainsi qu'une série de lithographies régionales du XIXe siècle);Numismatique, Philatélie, Sigillographie;Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale";;Roi Charles Albert, duc de Savoie et fondateur d'Albertville;Bâtiment datant de la fin du XIVe siècle et dénommé Maison Rouge. Comme son nom l'indique, le monument est construit en brique (rouge).;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00118182?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Albertville%22%5D&last_view=%22list%22&idQuery=%220508d-22eb-2f7-223d-3e8c651e0034%22;Site classé.;PA00118182;;2024-02-07;45.670787, 6.397471
M1053;musée Alpin;89 avenue Michel Croz;la résidence;74400;Chamonix Mont-Blanc;Auvergne-Rhône-Alpes;Haute-Savoie;musee-alpin-chamonix.fr/fr/infos-pratiques;04 50 55 29 46;;Arts décoratifs,Beaux-arts,Ethnologie,Histoire,Photographie,Sciences de la nature,Technique et industrie;L'origine des collections du Musée Alpin est un musée privé fondé en 1898 par le savoyard Joseph Cusim-Berlincourt. Celui-ci donne ses collections en 1920 à la commune de Chamonix, qui crée un musée municipal en 1925 (ouverture en 1926).  Ces collections sont enrichies par plusieurs dons et legs. En 1939, le musée est fermé et tombe ensuite dans l'oubli. En 1969, l'Association des Amis du Vieux Chamonix relance un projet de musée qui est installé dans le site du Chamonix-Palace. Le fonds ancien a été considérablement enrichi par des dons et achats. En 2001, la commune reprend la gestion du musée, qui est transféré à la communauté de communes en 2010.;Le musée retrace environ deux siècles de vie dans la vallée, des premiers voyages aux « Glacières de Savoye », à la création d'une « saison d'hiver ». Une importante collection d'estampes montre les transformations subies par Chamonix et sa vallée entre la fin du XVIIIe et le début du XXe siècle. Gravures et objets retracent la grande époque de la conquête du mont Blanc, portraits et médailles mettent à l'honneur la célèbre Compagnie des guides. Le matériel utilisé par les premiers conquérants de la montagne relate l'histoire de l'alpinisme. Le majestueux bobsleigh, une belle collection de luges et de skis ainsi que des affiches des premiers Jeux Olympiques racontent le début des sports d'hiver. Affiches, gravures et objets souvenirs illustrent l'engouement pour Chamonix et le développement du tourisme et de l'hôtellerie. Une maquette de l'observatoire Vallot, du matériel scientifique témoignent de la conquête scientifique du mont Blanc. Les collections d'ethnographie rappellent le passé agricole de la population chamoniarde. Pièce de mobilier, objets usuels, outils et costumes évoquent la vie quotidienne. Collection de cristaux et plans-reliefs du massif du Mont-Blanc;"Beaux-Arts (Iconographie de la Vallée de Chamonix, de la Chaîne du Mont-Blanc, de ses glaciers), Dessin, Peinture;Ethnologie (objets issus des industries locales.), Costume, Habitat, Mobilier, Métiers et Outils;Histoire : Histoire locale et régionale : Sciences fondamentales : Physique;Sciences de la nature : Minéralogie";Edgard Bouillette (1872 - 1960), peintre et aquafortiste. Jean-Antoine Linck (1766 - 1843), dessinateur, peintre et graveur. Louis Albert Guillain Bacler d'Albe (1761 - 1848), dessinateur et graveur.;Jacques Balmat et Michel Gabriel Paccard, vainqueurs du Mont-Blanc en 1786. Horace Bénédict de Saussure, savant genevois, instigateur de l'engouement pour le Mont-Bllanc à la fin du XVIIIe siècle (1ère ascension scientifique). Joseph Vallot, fondateur-directeur de l'Observatoire météorologique physique et glaciaire du Mont-Blanc (1890). Gabriel Loppé, peintre Alpiniste. Gaston Rebuffat, alpiniste.;Ancien Chamonix-Palace, hôtel de luxe représentatif de la Belle Epoque, construit en 1913.;;;;;2024-02-07;45.923429, 6.871049
M1140;musée Barthélemy Thimonnier;place de l'hôtel de ville;;69550;Amplepuis;Auvergne-Rhône-Alpes;Rhône;musees.ouestrhodanien.fr/musee-barthelemy-thimonnier.html;04 74 89 08 90;musée en zone rurale;Technique et industrie;Collection de machines à coudre constituée depuis 1965 par le Groupe de Recherches Archéologiques et Historiques d'Amplepuis, collection de cycles provenant de la donation Henri et Renée Malartre (donation en 1987).;Première collection publique française de machines à coudre, rapprochement historique et technologique de la machine à coudre et du cycle.;"Ethnologie : Métiers et outils ( artisanat, machines);Histoire : Histoire locale et régionale, Histoire industrielle et technologique;Sciences et techniques : Industrie, Mécanique";;Barthélemy Thimonnier, inventeur de la machine à coudre en 1830;Ancien hôpital d'Amplepuis et sa chapelle, qui lui était accolée.;;;;;2025-04-10;45.972502, 4.331417
M5083;centre national du costume de scène et de la scénographie;quartier Villars;;03000;Moulins-sur-Allier;Auvergne-Rhône-Alpes;Allier;www.cncs.fr/;04 70 20 76 20;;Arts décoratifs;Décision en 1994 du ministère de la culture et de la communication d'implanter à Moulins un « Centre de Réserves », consacré aux costumes de scène provenant de trois institutions nationales. L'Opéra de Paris, la Comédie-Française et la Bibliothèque Nationale de France conservent un ensemble de 8.500 costumes déposés à l'ouverture du CNCS. Depuis 2006, l'établissement a fait de nombreuses acquisitions (dons pour l'essentiel mais aussi achats) de costumes issus de compagnies de danse, de théâtres, d'opéras, conservés pour leur intérêt et valeur patrimoniale. Les collections sont en très grande majorité des costumes mais aussi des objets de musée (don de la Fondation Rudolf Noureev : mobilier, tableaux, objets arts décoratifs...), quelques maquettes de costumiers.;Collections de costumes exceptionnels, des plus grands théâtres ou compagnies de spectacles français, créés par les costumiers les plus représentatifs des arts de la scène et portés par les plus grands interprètes.;"Arts décoratifs : Textiles (costume, tapisserie, dentelle);Arts du spectacle : Danse, Théâtre et Opéra";Maquettes et costumes de scène dessinés par Christian Lacroix.;Sarah Bernhardt, Mounet Sully, Jean Marais, Isabelle Adjani, Serge Lifar, Claude Bessy, Rudolf Noureev…;Caserne de cavalerie du XVIIIe siècle.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00093231?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22caserne%22&ou=%5B%22Moulins%22%5D&last_view=%22list%22&idQuery=%222323b75-3105-adb5-0ce8-6238760720c%22;Site patrimonial remarquable.;"PA00093231;SPR8400014";;2024-02-08;46.560973, 3.335798
M7031;musée de paléontologie;place de l'église;;43380;Chilhac;Auvergne-Rhône-Alpes;Haute-Loire;www.museechilhac.com;04 71 77 47 26;musée en zone rurale;Sciences de la nature;Le Musée Christian Guth abrite les restes fossiles de la faune ayant vécu à Chilhac il y près de 2 millions d'années, provenant des fouilles du site de Chilhac depuis 1966.;Mastodonte, éléphant, rhinocéros, chevaux, cerfs, gazelle, hyène, ours, tigre, castor, porc-épic, ainsi que des restes d' oiseaux de la grande famille des Ansériformes (oies et canards). Découverte également exceptionnelle d' empreintes de végétaux. Du mastodonte - Anancus arvernensis chihiacensis - le premier crâne, connu en Europe, de cette espèce. Du cerf - Cervus philisi-, un squelette entier découvert avec tous ses os en connexion anatomique. Outillage lithique témoin de l'existence d'un hominidé il y a 1.900.000 ans;Sciences de la nature : Paléontologie;;;Ancien presbytère, sur la place de l'église, dominant l'Allier du haut de sa falaise présentant de magnifiques orgues basaltiques.;;Site inscrit;;;2025-04-10;45.148133, 3.402324
M7032;muséum d'histoire naturelle Lecoq;15 rue Bardoux;hôtel particulier Henri Lecoq;63000;Clermont-Ferrand;Auvergne-Rhône-Alpes;Puy-de-Dôme;www.clermontmetropole.eu/bouger-se-divertir/le-dynamisme-culturel/les-musees-de-clermont-auvergne-metropole/museum-henri-lecoq/;04 43 76 25 60;;Histoire,Sciences de la nature,Sciences fondamentales,Technique et industrie;Issues du legs d'Henri Lecoq, les collections, notablement enrichies et préservées depuis plus d'un siècle, sont présentées au sein de son ancien hôtel particulier, et composent un patrimoine fait de mémoire, d'histoire et de science.;"Musée de sciences installé depuis 1873 en plein cœur de Clermont-Ferrand, pourvu d'un jardin pédagogique et d'agrément, le muséum Henri Lecoq explore le patrimoine naturel du territoire, animaux, végétaux, roches, fossiles et interroge le visiteur sur l'histoire des sciences et techniques.  Département Histoire des sciences et techniques : collections retraçant l'histoire des sciences et techniques du XVIe au XXIe siècles, à travers des scientifiques de renom et des instruments. Collection de machines à calculer mécaniques en lien avec deux originaux de la machine à calculer de Blaise Pascal. Des fonds de scientifiques sont conservés afin de transmettre leur mémoire et leurs travaux. Cet héritage passe par leurs écrits et leur matériel de laboratoire comme le ballon de Louis Pasteur, témoin de son passage à Clermont-Ferrand. Les scientifiques locaux et contemporains sont mis à l'honneur, ainsi le professeur Philippe L'Héritier, célèbre généticien. Le musée conserve et valorise la collection exceptionnelle du chimiste Antoine-Laurent de Lavoisier (3.200 pièces) dont l'essentiel est de nature minéralogique. Département du Patrimoine écrit et graphique : livres anciens, archives et documents iconographiques constituent ce fonds. On y trouve tous les ouvrages écrits par Henri Lecoq, ceux de sa bibliothèque ainsi que des ouvrages antérieurs à 1810 comme l'Atlas minéralogique de la France de Guettard et Lavoisier (1778). Des notes et photographies, des inventaires anciens ainsi que des manuscrits constituent les archives scientifiques. Elles proviennent de personnalités scientifiques régionales et/ou liées au muséum, parmi lesquelles les géologues Philippe Glangeaud, Louis Glangeaud et Alain de Goër, le botaniste Maurice Chassagne et le généticien Philippe L'Héritier. Les documents iconographiques regroupent les cartes géologiques publiées par Lecoq, des affiches publicitaires pour son fameux café de glands doux, et les planches aquarellées de champignons réalisées sous la direction de Martial Lamotte. En complément, plus de 14.000 ouvrages forment la riche bibliothèque scientifique du muséum.  Département de Botanique : les herbiers sont des collections de plantes sèches conservées entre des feuilles de papier. Ainsi protégés, les végétaux traversent les années et quelquefois rejoignent les réserves des musées. C'est le cas au muséum où les collections de botanique ont pour origine le très riche herbier de Henri Lecoq auquel, au fil des années, se sont rajoutées les planches de botanistes connus comme Brévière, Jordan de Puyfol et frère Anthelme ou moins célèbres tels que Jelenc et Combaret. Chaque planche comporte une étiquette mentionnant le nom scientifique, la date et le lieu de récolte. Véritables archives scientifiques, les herbiers contiennent des informations sur la flore du Massif central et d'une grande partie de l'Europe, de 1790 à nos jours. On y trouve tous les représentants du règne végétal de la modeste mousse à l'imposant chêne, sans oublier les algues et les fougères. S'y rajoutent, par tradition, les lichens et les champignons. Les herbiers sont complétés de séries de graines et fruits ainsi que de spécimens en plâtre. Département Géologie : la géologie est représentée par un département qui conserve près de 50.000 échantillons de roches, de minéraux et de fossiles. Qu'ils aient été rassemblés par des scientifiques (Henri Lecoq, Lavoisier, Romme) pour être étudiés afin de mieux comprendre la formation de la Terre et son évolution ou par des amateurs (Jacques des Forest, éric Naud, et bien d'autres anonymes), ces spécimens forment les archives de notre planète dont ils rapportent les chroniques ; témoins et acteurs des événements qui ont fait l'histoire de la Terre au cours des temps. Le rôle du muséum, outre de conserver et préserver ces fragments d'histoires pour les générations futures, est de les mettre à la disposition du public par le biais d'expositions et des scientifiques, pour étude, afin que la connaissance diffuse et avance. Département de zoologie : les collections de vertébrés, de provenance régionale principalement et mondiale, sont constituées pour la plus grande partie des collections d'Henri-Lecoq : 700 mammifères naturalisés et spécimens ostéologiques, 2400 oiseaux naturalisés 2700 oeufs et nids d'oiseaux 700 poissons, amphibiens et reptiles conservés en liquide.  Les collections entomologiques comptent 290.000 insectes (lépidoptères et coléoptères essentiellement). Représentatives de la faune régionale, elles sont des collections de références. Les collectes ont été effectuées à partir de la fin du XIXe siècle. Les collections de Mollusques comptent 120.000 coquilles marines, terrestres et dulçaquicoles d'origines régionale et mondiale. Elles proviennent pour l'essentiel de collections du fonds ancien du muséum. Séries de références, elles possèdent des types et des figurés.";Sciences de la nature : Botanique, Entomologie, Géologie, Herpétologie, Invertébrés, Ichtyologie, Malacologie, Mammalogie, Minéralogie, Ornithologie, Paléontologie;;Henri Lecoq, Pasteur, Lavoisier, Blaise Pascal.;Hôtel particulier d'Henri Lecoq.;;Site patrimonial remarquable.;SPR8400115;;2024-02-08;45.774138, 3.088299
M1029;Ecomusée des Monts du Forez;quartier Saint-Joseph place Alex Folléas;;42550;Usson-en-Forez;Auvergne-Rhône-Alpes;Loire;www.ecomusee-usson-en-forez.fr/;04 77 50 67 97;"écomusée ; musée de plein air ; musée de site ; jardin remarquable ; musée en zone rurale";Archéologie,Ethnologie,Histoire,Sciences de la nature,Technique et industrie;"Alex Folléas, né en 1922, constitue la collection initiale du musée. Chirurgien-dentiste dans plusieurs bourgs des monts du Forez, il rassemble tout au long de sa vie plus de 2.000 objets : cabane de berger, vierge d'accouchement, jouets d'enfants, matériel de dentellières... autant d'objets qui illustrent la vie dans les monts du Forez. Cette collection unique est donnée à la municipalité d'Usson-en-Forez en 1989. Les anciens bâtiments de la congrégation des sœurs Saint-Joseph et une partie de l'enceinte médiévale du bourg sont entièrement restaurés pour accueillir cette collection. De 1992 à 1999, les différents espaces du musée sont ouverts successivement. Aujourd'hui, l'écomusée compte plus de 900 m² de surface d'expositions permanentes et temporaires. Les espaces verts qui l'entourent sont aménagés en jardin de curé. L'écomusée des monts du Forez a obtenu en mai 1996 une mention spéciale attribuée par le Jury du Prix Européen du musée de l'Année 1996. En 2005, Le musée obtient trois prix nationaux : Prix ""Tourisme 2005"", Prix ""Rustica"", Prix de l'""Ecotourisme"". En 2006, il reçoit le label ""Jardin remarquable"".";Les collections provenant de la montagne forézienne méridionale présentent, sur le mode de la reconstitution, un atelier de fabrication de paillons de seigle, un atelier de dentellière, les outils du charron, des voitures de cocher, un alambic sur roues, des éléments singuliers du travail agricole... Pour les enfants, des vitrines sont installées à bonne hauteur et un grenier du musée permet de découvrir de sympathiques trésors.;"Art religieux (Ethnologie religieuse des XIXe et XXe siècles);Arts décoratifs : Mobilier, Textiles (Dentelle);Ethnologie : Mobilier, Métiers et Outils, Pratiques religieuses et collectives, Vie quotidienne";;;Ancien château médiéval d'Usson et ancien couvent des sœurs de Saint-Joseph (XVIIIe - XXe siècles). Le musée rural d’Usson-en-Forez, en complément à son programme culturel et muséographique actuel, a souhaité aborder le travail de la terre au delà de l’activité agricole traditionnelle. Le jardin de l’écomusée est un jardin de curé de 240 m2, recréé en 2001 par l’agence Autre Nature, à l’emplacement de l’ancien potager des religieuses de la congrégation de saint-Joseph à partir de témoignages et de photographies anciennes. Une centaine de plantes, choisies pour leur résistance (1.000 mètres d’altitude) sont présentées dans huit espaces délimités par une rangée de petits buis : deux sont réservés aux plantes médicinales et aromatiques, deux autres aux végétaux potagers. Les quatre espaces centraux mélangent les familles de végétaux : fleurs annuelles, plantes ornementales (pour l’église). Moment d’évasion dans un espace reconstitué dans un esprit d’authenticité (carrés délimités, symétrie des parcelles, allées couvertes de sable…), afin d’éveiller et d’éduquer les sens et la connaissance de tous les visiteurs : enfants, adultes… Pour chaque visiteur, le musée met à disposition (prêt) un nuancier répertoriant les espèces visibles au jardin. Ce « petit dictionnaire » pratique et très maniable, présente pour chaque plante une fiche (identifiée par un numéro) regroupant des informations botaniques et des indications concernant le symbolisme de chaque espèce. Testé pendant l’été 2002, cet « outil » d’aide à la visite a connu un réel succès.;;;;;2025-04-10;45.392445, 3.943885
M1187;musée archéologique du lac de Paladru;place de l'église;;38850;Montferrat (Charavines);Auvergne-Rhône-Alpes;Isère;tourisme.paysvoironnais.com/patrimoine-culturel/musee-archeologique-du-lac-de-paladru-charavines/;04 76 55 77 47;"musée de site ; musée en zone rurale";Archéologie;La Maison du Pays du lac de Paladru présente les résultats des fouilles conduites depuis 1972 sous les eaux du lac, ainsi que sur les mottes et châteaux voisins. Le musée est actuellement fermé. Les collections archéologiques vont être restaurées avant de retrouver leur place au sein du futur musée archéologique en février 2022.;Situé sur les bords du lac de Paladru, le musée présente les découvertes des fouilles archéologiques effectuées dans le lac. Deux sites engloutis ont été fouillés par les archéologues : le village des « Baigneurs », datant de la fin du néolithique (2.700 ans avant J.-C.), et l'habitat médiéval de Colletière (1006-1038 après J.-C.). Les plus beaux objets retrouvés par les archéologues sont exposés dans le musée et donnent, avec l'aide des maquettes et d'un audiovisuel, un aperçu de la vie quotidienne pour ces deux périodes essentielles de l'histoire.;;;;;;Site inscrit.;;;2025-07-25;45.428526, 5.51555
M0106;musée Anne de Beaujeu;pavillon Anne de Beaujeu place du colonel Laussedat;château des ducs de Bourbon;03000;Moulins-sur-Allier;Auvergne-Rhône-Alpes;Allier;musees.allier.fr/410-presentation.htm;04 70 20 48 47;;Archéologie,Arts décoratifs,Beaux-arts;"En 1910, deux collections sont rassemblées dans le pavillon Anne-de-Beaujeu :  - une collection municipale créée en 1842; - une collection créée par une société savante, la Société d'émulation du Bourbonnais, en 1852 avec le soutien du Département de l'Allier. Des dépôts de l'Etat et une politique d'acquisition très active depuis les années 1970 complètent ces deux collections initiales qui avaient un caractère encyclopédique. Les collections-phares du musée sont l'égyptologie, l'archéologie régionale, la sculpture médiévale bourbonnaise, les arts décoratifs moulinois du XVIIIe siècle (faïence et coutellerie), l'art académique français 1848-1914. Depuis 2004, le musée est départemental. Il est complété par la Maison Mantin, maison léguée par son propriétaire, meublée et décorée en 1905 qui, après une période de travaux, a rouvert en 2010.";"Archéologie régionale ;  Sculpture médiévale bourbonnaise ;  Faïence et coutellerie de Moulins, XVIIIe siècle ;  Art académique (1848-1914) : J-L Gérôme, J-P Laurens, E-V Luminais... ;  Demeure bourgeoise de la fin du XIXe siècle entièrement meublée et décorée.";"Archéologie nationale : Préhistoire, Gallo-romain;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Collections militaires : Armes;Autres collections (Maison, exemple du XIXe siècle avec ses collections ""Maison Mantin"")";De La Boulaye, Geoffroy, Papety, Chocarne-Moreau, Outin, Bac, Meissonier, Luminais, Laurens;"Georges-Antoine Rochegrosse (collection de référence) ; Marcellin Desboutin (collection de référence) ; Emile Gallé";Pavillon du château des ducs de Bourbon. Ce pavillon est l'un des premiers édifices de style Renaissance en France.;Protégé au titre des Monuments historiques : Musée Anne de Beaujeu : https://www.pop.culture.gouv.fr/notice/merimee/PA00093228?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Beaujeu%22&ou=%5B%22Moulins%22%5D&last_view=%22list%22&idQuery=%22b2ebe2e-be2b-da00-8272-c3b51a0ad3e%22 Maison Mantin : https://www.pop.culture.gouv.fr/notice/merimee/PA00093213?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Moulins%22%5D&last_view=%22list%22&idQuery=%228582002-cabc-76d1-c0d5-43c0de727e1d%22;Abords d'un Monument historique. Site patrimonial remarquable. Site inscrit.;"PA00093228;IA03000256;PA00093213;SPR8400014";;2024-02-07;46.56707, 3.331218
M0107;musée Rieckotter;4 rue Monthyon;maison du patrimoine;03310;Néris-les-Bains;Auvergne-Rhône-Alpes;Allier;www.ot-neris-les-bains.fr/decouvrir/au-fil-du-temps/musee-gallo-romain/;04 70 03 42 11;musée en zone rurale;Archéologie;Ouvert en 1995, le musée de Néris-les-Bains regroupe des vestiges gallo-romains retrouvés localement.;la Maison du Patrimoine invite à la découverte de la civilisation gallo-romaine et des lointaines origines de notre vie urbaine. La visite commentée des très riches collections provenant de la ville antique de Néris, véritable paradis archéologique, constitue une initiation privilégiée à la connaissance de notre patrimoine.  La salle d'accueil, consacrée à la présentation du site, souligne les aspects contrastés de la ville gallo-romaine. Sous la parure de marbre et de sculpture de la ville officielle, construite sur le modèle romain, fort bien représentée par la grande inscription de Lucius Julius Equester et les chapiteaux des thermes, transparaît le vieux fond celtique à travers les caractéristiques de l'habitat privé des quartiers artisanaux.  Une importante collection de céramiques gallo-romaines évoque la vie quotidienne de la cité antique dans le domaine culinaire, qu'il s'agisse des mortiers servant à broyer les aliments, des urnes et des marmites utilisées pour leur cuisson, encore noircies par la suie du foyer, ou des plats, jattes, bols et assiettes destinés à la présentation et à la consommation des mets préparés en cuisine. De nombreux pichets et cruches de dimensions variées suggèrent le transport et la conservation des liquides et des breuvages et témoignent de l'extraordinaire virtuosité des potiers nérisiens qui ont réalisé ces céramiques élégantes au Ier et IIe siècles de notre ère. Parfois même, la céramique commune imite la vaisselle métallique, beaucoup plus rare et chère, tant par les formes que par les couleurs, certains vases, recouverts d'un enduit de mica doré, rappellent l'éclat du bronze... Derrière ces objets, les hommes sont présents : les biberons de verre pour alimenter les nourrissons gallo-romains, les lampes à huile pour l'éclairage, les stylets pour écrire sur les tablettes de cire, les bijoux et épingles à cheveux pour la parure féminine révèlent une vie intense à la fois lointaine et proche de la nôtre, sans oublier les croyances et les cultes domestiques évoqués par des figurines de divinités, déesses mères ou Vénus. Plus étrange est la représentation de la déesse gauloise Epona, magnifique bas-relief figurant la divinité protectrice des voyageurs et des défunts, en quête d'au-delà, sur un cheval en plein mouvement.  La statuaire de plus grande dimension révèle la présence de sanctuaires consacrés à des cultes d'origine gauloise. Ainsi, le mythe de la victoire de la lumière sur les ténèbres est illustré par le dieu celtique Taranis qui élève le disque solaire sur son épaule, tandis qu'il impose une main protectrice sur la tête d'un petit personnage muni d'un serpent. Enfin, Cernunos, divinité accroupie à la ramure de cerf, dont la stylisation expressive exprime la puissance selon les critères de l'art celtique, évoque la continuité du cycle des saisons et l'éternel renouvellement de la vie humaine.;Archéologie nationale;;;Ouverte en 1995 dans une demeure noble du XVe siècle, la Maison du Patrimoine concilie avec harmonie modernité et références à l'histoire du bâtiment;;Site patrimonial remarquable;SPR8400015;1995;2025-04-10;46.287552, 2.662598
